@relation finishedData-weka.filters.unsupervised.attribute.NumericToNominal-R10-weka.filters.unsupervised.attribute.NumericToNominal-R1-2-weka.filters.unsupervised.attribute.NumericToBinary-R14-weka.filters.unsupervised.attribute.NumericToNominal-R12-weka.filters.unsupervised.attribute.NumericToNominal-R15-weka.filters.unsupervised.attribute.NumericToNominal-R5

@attribute Year {2010,2011,2012,2013,2014,2015,2016,2017,2018}
@attribute Month {3,6,9,12}
@attribute City {Wellington,Auckland,Otago}
@attribute 'Region Average.Rent' numeric
@attribute Number.of.Bonds {1837,2002,2036,2062,2075,2095,2159,2215,2254,2300,2337,2381,2382,2412,2414,2417,2465,2562,2569,2680,2751,2827,2839,2858,2876,2921,3030,3126,3204,3301,3432,3489,3985,4074,4087,4102,4190,4283,4324,4340,4429,4514,4672,4770,4803,4882,5005,5016,5019,5107,5121,5309,5359,5455,5673,5902,6151,6456,6552,6627,6719,6846,6868,6893,7280,11341,12176,12244,12456,13092,13132,13252,13898,14105,14181,14211,14316,14358,14658,14724,14837,14875,14881,14892,14999,15249,15307,15449,15491,15538,15543,15547,15697,16329,16508,16608,18322,18489}
@attribute Number.of.Students..Bachelors.only. {'15,800','26,580','16,420','26,630','15,645','16,240','26,835','15,400','16,165','15,335','26,905','16,060','15,145','26,800','16,150','15,260','26,640','15,700','15,380','25,935','15,830','15,510','25,800','15,715','15,434','16,035','16,305'}
@attribute Student..Allowance.average {$170.68,$173.41,$175.38,$173.29,$175.88,$173.82,$178.94,$183.06,$230.12}
@attribute Student.Accomodation..Benefit.Average {$35.03,35.47,35.91,35.18,35.71,38.06,39.35,60}
@attribute Property_Type {House,'Room or Boarding House','Flat or Apartment',Hostel}
@attribute Number.of.Bedrooms {1,2,3,4,5}
@attribute Property.Average.Rent numeric
@attribute Bonds {5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,53,54,56,57,58,59,60,61,62,63,64,66,67,68,69,71,73,75,76,77,78,80,83,84,85,86,87,88,89,90,91,94,95,96,99,100,101,103,106,109,110,111,113,115,116,121,122,123,124,127,129,135,136,137,138,141,142,143,144,146,148,149,152,153,154,157,158,160,161,166,167,168,169,170,171,172,181,184,190,192,195,196,197,203,205,208,209,217,218,225,230,233,234,237,252,255,258,263,271,276,295,301,308,310,314,316,325,326,331,332,334,336,338,342,358,374,376,379,381,390,399,401,402,405,412,436,438,441,445,453,454,461,462,469,483,490,491,498,501,520,524,525,534,536,543,545,562,563,568,578,580,588,608,630,644,648,654,655,678,680,694,704,759,769,777,790,877,917}
@attribute 'Student/Bond Ratio' numeric
@attribute 'Above National Average (City)_binarized' {0,1}
@attribute Class {0,1}

@data
2015,6,Otago,354,2062,'15,700',$173.82,35.71,'Flat or Apartment',5,660,12,0.00582,0,0
2015,6,Auckland,495,15538,'26,640',$173.82,35.71,'Flat or Apartment',3,668,38,0.002446,1,0
2015,6,Otago,354,2062,'15,700',$173.82,35.71,House,5,711,15,0.007274,0,0
2015,9,Wellington,385,4324,'15,260',$173.82,35.71,'Room or Boarding House',1,126,60,0.013876,0,1
2015,9,Wellington,385,4324,'15,260',$173.82,35.71,House,2,156,7,0.001619,0,0
2015,9,Auckland,503,14875,'26,640',$173.82,35.71,'Room or Boarding House',1,170,60,0.004034,1,1
2015,9,Wellington,385,4324,'15,260',$173.82,35.71,House,3,173,6,0.001388,0,0
2015,9,Otago,380,2254,'15,700',$173.82,35.71,'Room or Boarding House',1,195,75,0.033274,0,1
2015,9,Wellington,385,4324,'15,260',$173.82,35.71,House,1,232,53,0.012257,0,1
2015,9,Otago,380,2254,'15,700',$173.82,35.71,'Flat or Apartment',1,252,12,0.005324,0,1
2015,9,Otago,380,2254,'15,700',$173.82,35.71,House,1,255,5,0.002218,0,0
2015,9,Wellington,385,4324,'15,260',$173.82,35.71,House,4,297,8,0.00185,0,0
2015,9,Otago,380,2254,'15,700',$173.82,35.71,House,2,319,14,0.006211,0,1
2015,9,Wellington,385,4324,'15,260',$173.82,35.71,'Flat or Apartment',1,323,195,0.045097,0,1
2015,9,Wellington,385,4324,'15,260',$173.82,35.71,'Flat or Apartment',2,324,129,0.029833,0,1
2015,9,Otago,380,2254,'15,700',$173.82,35.71,'Flat or Apartment',2,349,38,0.016859,0,1
2015,9,Auckland,503,14875,'26,640',$173.82,35.71,House,1,363,11,0.000739,1,0
2015,9,Auckland,503,14875,'26,640',$173.82,35.71,'Flat or Apartment',1,385,545,0.036639,1,1
2015,9,Wellington,385,4324,'15,260',$173.82,35.71,'Flat or Apartment',3,394,32,0.007401,0,0
2015,9,Otago,380,2254,'15,700',$173.82,35.71,'Flat or Apartment',3,412,10,0.004437,0,0
2015,9,Wellington,385,4324,'15,260',$173.82,35.71,'Flat or Apartment',5,451,16,0.0037,0,0
2015,9,Otago,380,2254,'15,700',$173.82,35.71,House,3,458,8,0.003549,0,0
2015,9,Auckland,503,14875,'26,640',$173.82,35.71,House,2,459,35,0.002353,1,0
2015,9,Otago,380,2254,'15,700',$173.82,35.71,House,4,475,5,0.002218,0,0
2015,9,Wellington,385,4324,'15,260',$173.82,35.71,House,5,475,15,0.003469,0,0
2015,9,Wellington,385,4324,'15,260',$173.82,35.71,'Flat or Apartment',4,500,7,0.001619,0,0
2015,9,Auckland,503,14875,'26,640',$173.82,35.71,'Flat or Apartment',2,514,374,0.025143,1,0
2015,9,Auckland,503,14875,'26,640',$173.82,35.71,House,3,516,13,0.000874,1,0
2015,9,Otago,380,2254,'15,700',$173.82,35.71,'Flat or Apartment',4,532,9,0.003993,0,0
2015,9,Auckland,503,14875,'26,640',$173.82,35.71,'Flat or Apartment',5,612,11,0.000739,1,0
2015,9,Auckland,503,14875,'26,640',$173.82,35.71,House,4,622,27,0.001815,1,0
2015,9,Auckland,503,14875,'26,640',$173.82,35.71,'Flat or Apartment',4,632,5,0.000336,1,0
2015,9,Otago,380,2254,'15,700',$173.82,35.71,House,5,645,19,0.008429,0,0
2015,9,Otago,380,2254,'15,700',$173.82,35.71,'Flat or Apartment',5,648,17,0.007542,0,0
2015,9,Auckland,503,14875,'26,640',$173.82,35.71,House,5,696,11,0.000739,1,0
2015,9,Auckland,503,14875,'26,640',$173.82,35.71,'Flat or Apartment',3,777,26,0.001748,1,0
2015,12,Auckland,503,13092,'26,640',$173.82,35.71,'Room or Boarding House',1,180,50,0.003819,1,1
2015,12,Wellington,421,4882,'15,260',$173.82,35.71,'Room or Boarding House',1,220,50,0.010242,1,1
2015,12,Wellington,421,4882,'15,260',$173.82,35.71,House,4,253,6,0.001229,1,0
2015,12,Otago,372,2858,'15,700',$173.82,35.71,'Flat or Apartment',1,255,16,0.005598,0,0
2015,12,Wellington,421,4882,'15,260',$173.82,35.71,House,1,266,59,0.012085,1,1
2015,12,Otago,372,2858,'15,700',$173.82,35.71,'Room or Boarding House',1,307,95,0.03324,0,1
2015,12,Otago,372,2858,'15,700',$173.82,35.71,House,1,312,27,0.009447,0,1
2015,12,Otago,372,2858,'15,700',$173.82,35.71,House,2,331,8,0.002799,0,0
2015,12,Wellington,421,4882,'15,260',$173.82,35.71,House,2,334,15,0.003073,1,0
2015,12,Otago,372,2858,'15,700',$173.82,35.71,'Flat or Apartment',2,336,10,0.003499,0,0
2015,12,Wellington,421,4882,'15,260',$173.82,35.71,'Flat or Apartment',1,343,181,0.037075,1,1
2015,12,Auckland,503,13092,'26,640',$173.82,35.71,House,1,350,8,0.000611,1,0
2015,12,Otago,372,2858,'15,700',$173.82,35.71,'Flat or Apartment',3,390,14,0.004899,0,0
2015,12,Auckland,503,13092,'26,640',$173.82,35.71,'Flat or Apartment',1,397,462,0.035289,1,0
2015,12,Wellington,421,4882,'15,260',$173.82,35.71,'Flat or Apartment',3,400,34,0.006964,1,0
2015,12,Auckland,503,13092,'26,640',$173.82,35.71,House,2,439,31,0.002368,1,0
2015,12,Wellington,421,4882,'15,260',$173.82,35.71,House,5,451,17,0.003482,1,0
2015,12,Wellington,421,4882,'15,260',$173.82,35.71,'Flat or Apartment',5,454,23,0.004711,1,0
2015,12,Wellington,421,4882,'15,260',$173.82,35.71,'Flat or Apartment',2,465,113,0.023146,1,0
2015,12,Otago,372,2858,'15,700',$173.82,35.71,House,3,477,11,0.003849,0,0
2015,12,Wellington,421,4882,'15,260',$173.82,35.71,House,3,490,13,0.002663,1,0
2015,12,Otago,372,2858,'15,700',$173.82,35.71,'Flat or Apartment',4,503,23,0.008048,0,0
2015,12,Wellington,421,4882,'15,260',$173.82,35.71,'Flat or Apartment',4,509,19,0.003892,1,0
2015,12,Auckland,503,13092,'26,640',$173.82,35.71,'Flat or Apartment',2,516,295,0.022533,1,0
2015,12,Otago,372,2858,'15,700',$173.82,35.71,House,4,532,13,0.004549,0,0
2015,12,Auckland,503,13092,'26,640',$173.82,35.71,House,3,546,13,0.000993,1,0
2015,12,Auckland,503,13092,'26,640',$173.82,35.71,House,4,595,16,0.001222,1,0
2015,12,Auckland,503,13092,'26,640',$173.82,35.71,'Flat or Apartment',4,702,19,0.001451,1,0
2015,12,Otago,372,2858,'15,700',$173.82,35.71,'Flat or Apartment',5,717,20,0.006998,0,0
2015,12,Auckland,503,13092,'26,640',$173.82,35.71,'Flat or Apartment',3,722,24,0.001833,1,0
2015,12,Auckland,503,13092,'26,640',$173.82,35.71,'Flat or Apartment',5,729,14,0.001069,1,0
2015,12,Otago,372,2858,'15,700',$173.82,35.71,House,5,739,21,0.007348,0,0
2015,12,Auckland,503,13092,'26,640',$173.82,35.71,House,5,816,8,0.000611,1,0
2016,3,Wellington,430,7280,'15,380',$178.94,38.06,House,1,165,5,0.000687,1,0
2016,3,Auckland,512,18489,'25,935',$178.94,38.06,'Room or Boarding House',1,200,190,0.010276,1,1
2016,3,Wellington,430,7280,'15,380',$178.94,38.06,'Room or Boarding House',1,218,190,0.026099,1,1
2016,3,Otago,366,2876,'15,830',$178.94,38.06,'Room or Boarding House',1,242,157,0.05459,0,1
2016,3,Otago,366,2876,'15,830',$178.94,38.06,'Flat or Apartment',1,264,24,0.008345,0,1
2016,3,Wellington,430,7280,'15,380',$178.94,38.06,House,2,301,20,0.002747,1,1
2016,3,Otago,366,2876,'15,830',$178.94,38.06,'Flat or Apartment',2,316,9,0.003129,0,0
2016,3,Wellington,430,7280,'15,380',$178.94,38.06,'Flat or Apartment',1,320,271,0.037225,1,1
2016,3,Auckland,512,18489,'25,935',$178.94,38.06,'Flat or Apartment',1,399,562,0.030396,1,1
2016,3,Wellington,430,7280,'15,380',$178.94,38.06,House,3,413,38,0.00522,1,0
2016,3,Auckland,512,18489,'25,935',$178.94,38.06,House,1,426,5,0.00027,1,0
2016,3,Auckland,512,18489,'25,935',$178.94,38.06,House,2,431,37,0.002001,1,0
2016,3,Otago,366,2876,'15,830',$178.94,38.06,House,2,440,9,0.003129,0,0
2016,3,Otago,366,2876,'15,830',$178.94,38.06,House,1,454,5,0.001739,0,0
2016,3,Otago,366,2876,'15,830',$178.94,38.06,House,3,457,8,0.002782,0,0
2016,3,Otago,366,2876,'15,830',$178.94,38.06,'Flat or Apartment',3,464,15,0.005216,0,0
2016,3,Wellington,430,7280,'15,380',$178.94,38.06,'Flat or Apartment',2,476,217,0.029808,1,0
2016,3,Otago,366,2876,'15,830',$178.94,38.06,House,4,488,12,0.004172,0,0
2016,3,Auckland,512,18489,'25,935',$178.94,38.06,House,3,504,17,0.000919,1,0
2016,3,Wellington,430,7280,'15,380',$178.94,38.06,House,4,522,30,0.004121,1,0
2016,3,Auckland,512,18489,'25,935',$178.94,38.06,'Flat or Apartment',2,527,376,0.020336,1,0
2016,3,Otago,366,2876,'15,830',$178.94,38.06,'Flat or Apartment',4,547,8,0.002782,0,0
2016,3,Auckland,512,18489,'25,935',$178.94,38.06,House,4,570,15,0.000811,1,0
2016,3,Wellington,430,7280,'15,380',$178.94,38.06,'Flat or Apartment',3,642,115,0.015797,1,0
2016,3,Auckland,512,18489,'25,935',$178.94,38.06,House,5,669,5,0.00027,1,0
2016,3,Otago,366,2876,'15,830',$178.94,38.06,'Flat or Apartment',5,670,43,0.014951,0,0
2016,3,Auckland,512,18489,'25,935',$178.94,38.06,'Flat or Apartment',4,672,28,0.001514,1,0
2016,3,Otago,366,2876,'15,830',$178.94,38.06,House,5,677,45,0.015647,0,0
2016,3,Auckland,512,18489,'25,935',$178.94,38.06,'Flat or Apartment',3,696,45,0.002434,1,0
2016,3,Wellington,430,7280,'15,380',$178.94,38.06,House,5,723,25,0.003434,1,0
2016,3,Auckland,512,18489,'25,935',$178.94,38.06,'Flat or Apartment',5,758,5,0.00027,1,0
2016,3,Wellington,430,7280,'15,380',$178.94,38.06,'Flat or Apartment',4,759,59,0.008104,1,0
2016,3,Wellington,430,7280,'15,380',$178.94,38.06,'Flat or Apartment',5,902,54,0.007418,1,0
2016,6,Wellington,408,4429,'15,380',$178.94,38.06,House,2,144,9,0.002032,0,1
2016,6,Otago,382,2036,'15,830',$178.94,38.06,'Room or Boarding House',1,179,66,0.032417,0,1
2016,6,Auckland,514,15249,'25,935',$178.94,38.06,'Room or Boarding House',1,210,76,0.004984,1,1
2016,6,Wellington,408,4429,'15,380',$178.94,38.06,House,1,223,34,0.007677,0,1
2016,6,Wellington,408,4429,'15,380',$178.94,38.06,'Room or Boarding House',1,226,76,0.01716,0,1
2016,6,Otago,382,2036,'15,830',$178.94,38.06,House,1,258,20,0.009823,0,1
2016,6,Otago,382,2036,'15,830',$178.94,38.06,'Flat or Apartment',1,287,62,0.030452,0,1
2016,6,Wellington,408,4429,'15,380',$178.94,38.06,'Flat or Apartment',1,358,205,0.046286,0,1
2016,6,Otago,382,2036,'15,830',$178.94,38.06,'Flat or Apartment',3,364,5,0.002456,0,0
2016,6,Otago,382,2036,'15,830',$178.94,38.06,'Flat or Apartment',2,367,50,0.024558,0,1
2016,6,Otago,382,2036,'15,830',$178.94,38.06,House,2,389,9,0.00442,0,0
2016,6,Wellington,408,4429,'15,380',$178.94,38.06,House,3,405,16,0.003613,0,0
2016,6,Auckland,514,15249,'25,935',$178.94,38.06,House,1,407,7,0.000459,1,0
2016,6,Auckland,514,15249,'25,935',$178.94,38.06,'Flat or Apartment',1,410,524,0.034363,1,0
2016,6,Wellington,408,4429,'15,380',$178.94,38.06,'Flat or Apartment',3,428,49,0.011063,0,0
2016,6,Otago,382,2036,'15,830',$178.94,38.06,House,3,457,10,0.004912,0,0
2016,6,Auckland,514,15249,'25,935',$178.94,38.06,House,2,459,35,0.002295,1,0
2016,6,Otago,382,2036,'15,830',$178.94,38.06,House,4,461,8,0.003929,0,0
2016,6,Wellington,408,4429,'15,380',$178.94,38.06,'Flat or Apartment',2,482,144,0.032513,0,0
2016,6,Wellington,408,4429,'15,380',$178.94,38.06,'Flat or Apartment',4,508,20,0.004516,0,0
2016,6,Auckland,514,15249,'25,935',$178.94,38.06,House,4,521,23,0.001508,1,0
2016,6,Auckland,514,15249,'25,935',$178.94,38.06,'Flat or Apartment',2,526,334,0.021903,1,0
2016,6,Otago,382,2036,'15,830',$178.94,38.06,'Flat or Apartment',4,529,9,0.00442,0,0
2016,6,Wellington,408,4429,'15,380',$178.94,38.06,House,4,550,13,0.002935,0,0
2016,6,Wellington,408,4429,'15,380',$178.94,38.06,'Flat or Apartment',5,557,25,0.005645,0,0
2016,6,Auckland,514,15249,'25,935',$178.94,38.06,House,3,577,21,0.001377,1,0
2016,6,Auckland,514,15249,'25,935',$178.94,38.06,'Flat or Apartment',5,638,13,0.000853,1,0
2016,6,Otago,382,2036,'15,830',$178.94,38.06,'Flat or Apartment',5,654,14,0.006876,0,0
2016,6,Wellington,408,4429,'15,380',$178.94,38.06,House,5,657,11,0.002484,0,0
2016,6,Auckland,514,15249,'25,935',$178.94,38.06,'Flat or Apartment',4,672,23,0.001508,1,0
2016,6,Auckland,514,15249,'25,935',$178.94,38.06,House,5,687,12,0.000787,1,0
2016,6,Otago,382,2036,'15,830',$178.94,38.06,House,5,765,13,0.006385,0,0
2016,6,Auckland,514,15249,'25,935',$178.94,38.06,'Flat or Apartment',3,776,27,0.001771,1,0
2016,9,Wellington,406,4803,'15,380',$178.94,38.06,House,4,190,5,0.001041,0,0
2016,9,Auckland,519,16508,'25,935',$178.94,38.06,'Room or Boarding House',1,190,106,0.006421,1,1
2016,9,Otago,405,2417,'15,830',$178.94,38.06,'Room or Boarding House',1,203,113,0.046752,0,1
2016,9,Wellington,406,4803,'15,380',$178.94,38.06,'Room or Boarding House',1,217,106,0.02207,0,1
2016,9,Wellington,406,4803,'15,380',$178.94,38.06,'Flat or Apartment',5,249,12,0.002498,0,1
2016,9,Wellington,406,4803,'15,380',$178.94,38.06,House,2,259,11,0.00229,0,0
2016,9,Wellington,406,4803,'15,380',$178.94,38.06,House,1,261,87,0.018114,0,1
2016,9,Otago,405,2417,'15,830',$178.94,38.06,'Flat or Apartment',1,290,7,0.002896,0,0
2016,9,Otago,405,2417,'15,830',$178.94,38.06,House,1,290,30,0.012412,0,1
2016,9,Otago,405,2417,'15,830',$178.94,38.06,'Flat or Apartment',2,333,7,0.002896,0,0
2016,9,Wellington,406,4803,'15,380',$178.94,38.06,'Flat or Apartment',1,346,197,0.041016,0,1
2016,9,Otago,405,2417,'15,830',$178.94,38.06,House,2,372,7,0.002896,0,0
2016,9,Wellington,406,4803,'15,380',$178.94,38.06,House,3,402,10,0.002082,0,0
2016,9,Auckland,519,16508,'25,935',$178.94,38.06,House,1,410,12,0.000727,1,0
2016,9,Auckland,519,16508,'25,935',$178.94,38.06,'Flat or Apartment',1,410,608,0.036831,1,0
2016,9,Wellington,406,4803,'15,380',$178.94,38.06,'Flat or Apartment',3,433,38,0.007912,0,0
2016,9,Otago,405,2417,'15,830',$178.94,38.06,'Flat or Apartment',3,449,8,0.00331,0,0
2016,9,Otago,405,2417,'15,830',$178.94,38.06,House,3,452,7,0.002896,0,0
2016,9,Wellington,406,4803,'15,380',$178.94,38.06,'Flat or Apartment',2,479,127,0.026442,0,0
2016,9,Otago,405,2417,'15,830',$178.94,38.06,'Flat or Apartment',4,497,8,0.00331,0,0
2016,9,Auckland,519,16508,'25,935',$178.94,38.06,House,2,514,5,0.000303,1,0
2016,9,Otago,405,2417,'15,830',$178.94,38.06,House,4,519,6,0.002482,0,0
2016,9,Wellington,406,4803,'15,380',$178.94,38.06,House,5,528,14,0.002915,0,0
2016,9,Auckland,519,16508,'25,935',$178.94,38.06,'Flat or Apartment',2,539,379,0.022959,1,0
2016,9,Auckland,519,16508,'25,935',$178.94,38.06,House,3,542,13,0.000787,1,0
2016,9,Wellington,406,4803,'15,380',$178.94,38.06,'Flat or Apartment',4,564,18,0.003748,0,0
2016,9,Otago,405,2417,'15,830',$178.94,38.06,'Flat or Apartment',5,595,12,0.004965,0,0
2016,9,Auckland,519,16508,'25,935',$178.94,38.06,House,4,622,26,0.001575,1,0
2016,9,Auckland,519,16508,'25,935',$178.94,38.06,'Flat or Apartment',4,639,18,0.00109,1,0
2016,9,Auckland,519,16508,'25,935',$178.94,38.06,'Flat or Apartment',5,668,9,0.000545,1,0
2016,9,Auckland,519,16508,'25,935',$178.94,38.06,'Flat or Apartment',3,725,47,0.002847,1,0
2016,9,Otago,405,2417,'15,830',$178.94,38.06,House,5,739,32,0.01324,0,0
2016,9,Auckland,519,16508,'25,935',$178.94,38.06,House,5,758,12,0.000727,1,0
2016,12,Wellington,454,4340,'15,380',$178.94,38.06,'Room or Boarding House',1,144,95,0.021889,1,1
2016,12,Wellington,454,4340,'15,380',$178.94,38.06,House,2,163,7,0.001613,1,0
2016,12,Auckland,527,12176,'25,935',$178.94,38.06,'Room or Boarding House',1,190,95,0.007802,1,1
2016,12,Wellington,454,4340,'15,380',$178.94,38.06,House,3,202,9,0.002074,1,1
2016,12,Wellington,454,4340,'15,380',$178.94,38.06,House,1,247,71,0.016359,1,1
2016,12,Wellington,454,4340,'15,380',$178.94,38.06,House,4,270,7,0.001613,1,0
2016,12,Otago,404,2839,'15,830',$178.94,38.06,'Room or Boarding House',1,284,87,0.030645,0,1
2016,12,Otago,404,2839,'15,830',$178.94,38.06,'Flat or Apartment',2,326,9,0.00317,0,0
2016,12,Wellington,454,4340,'15,380',$178.94,38.06,'Flat or Apartment',1,338,152,0.035023,1,1
2016,12,Otago,404,2839,'15,830',$178.94,38.06,House,1,339,31,0.010919,0,0
2016,12,Wellington,454,4340,'15,380',$178.94,38.06,House,5,352,9,0.002074,1,0
2016,12,Otago,404,2839,'15,830',$178.94,38.06,House,2,355,7,0.002466,0,0
2016,12,Otago,404,2839,'15,830',$178.94,38.06,'Flat or Apartment',1,376,6,0.002113,0,0
2016,12,Wellington,454,4340,'15,380',$178.94,38.06,'Flat or Apartment',3,394,38,0.008756,1,0
2016,12,Auckland,527,12176,'25,935',$178.94,38.06,'Flat or Apartment',1,409,469,0.038518,1,0
2016,12,Wellington,454,4340,'15,380',$178.94,38.06,'Flat or Apartment',5,449,28,0.006452,1,0
2016,12,Otago,404,2839,'15,830',$178.94,38.06,'Flat or Apartment',3,458,10,0.003522,0,0
2016,12,Wellington,454,4340,'15,380',$178.94,38.06,'Flat or Apartment',2,461,86,0.019816,1,0
2016,12,Otago,404,2839,'15,830',$178.94,38.06,House,3,471,10,0.003522,0,0
2016,12,Auckland,527,12176,'25,935',$178.94,38.06,House,2,480,6,0.000493,1,0
2016,12,Auckland,527,12176,'25,935',$178.94,38.06,House,3,506,12,0.000986,1,0
2016,12,Otago,404,2839,'15,830',$178.94,38.06,'Flat or Apartment',4,514,25,0.008806,0,0
2016,12,Auckland,527,12176,'25,935',$178.94,38.06,'Flat or Apartment',2,516,314,0.025788,1,0
2016,12,Auckland,527,12176,'25,935',$178.94,38.06,House,1,522,5,0.000411,1,0
2016,12,Otago,404,2839,'15,830',$178.94,38.06,House,4,525,14,0.004931,0,0
2016,12,Auckland,527,12176,'25,935',$178.94,38.06,House,4,589,21,0.001725,1,0
2016,12,Otago,404,2839,'15,830',$178.94,38.06,House,5,664,31,0.010919,0,0
2016,12,Otago,404,2839,'15,830',$178.94,38.06,'Flat or Apartment',5,691,33,0.011624,0,0
2016,12,Auckland,527,12176,'25,935',$178.94,38.06,'Flat or Apartment',4,748,22,0.001807,1,0
2016,12,Auckland,527,12176,'25,935',$178.94,38.06,'Flat or Apartment',3,766,25,0.002053,1,0
2016,12,Wellington,454,4340,'15,380',$178.94,38.06,'Flat or Apartment',4,809,34,0.007834,1,0
2016,12,Auckland,527,12176,'25,935',$178.94,38.06,'Flat or Apartment',5,828,5,0.000411,1,0
2016,12,Auckland,527,12176,'25,935',$178.94,38.06,House,5,1004,5,0.000411,1,0
2017,3,Wellington,454,6627,'15,510',$183.06,39.35,House,1,113,5,0.000754,1,1
2017,3,Wellington,454,6627,'15,510',$183.06,39.35,'Room or Boarding House',1,141,209,0.031538,1,1
2017,3,Auckland,532,18322,'25,800',$183.06,39.35,'Room or Boarding House',1,240,209,0.011407,1,1
2017,3,Otago,396,2827,'15,715',$183.06,39.35,'Room or Boarding House',1,281,234,0.082773,0,1
2017,3,Otago,396,2827,'15,715',$183.06,39.35,'Flat or Apartment',1,286,16,0.00566,0,1
2017,3,Otago,396,2827,'15,715',$183.06,39.35,House,1,316,43,0.01521,0,1
2017,3,Otago,396,2827,'15,715',$183.06,39.35,'Flat or Apartment',2,336,11,0.003891,0,0
2017,3,Wellington,454,6627,'15,510',$183.06,39.35,'Flat or Apartment',1,351,308,0.046477,1,1
2017,3,Auckland,532,18322,'25,800',$183.06,39.35,House,1,389,6,0.000327,1,0
2017,3,Auckland,532,18322,'25,800',$183.06,39.35,'Flat or Apartment',1,412,562,0.030674,1,0
2017,3,Wellington,454,6627,'15,510',$183.06,39.35,House,3,416,45,0.00679,1,0
2017,3,Otago,396,2827,'15,715',$183.06,39.35,House,2,448,12,0.004245,0,0
2017,3,Otago,396,2827,'15,715',$183.06,39.35,'Flat or Apartment',3,467,24,0.00849,0,0
2017,3,Auckland,532,18322,'25,800',$183.06,39.35,House,2,470,13,0.00071,1,0
2017,3,Wellington,454,6627,'15,510',$183.06,39.35,House,4,473,39,0.005885,1,0
2017,3,Wellington,454,6627,'15,510',$183.06,39.35,'Flat or Apartment',2,495,237,0.035763,1,0
2017,3,Otago,396,2827,'15,715',$183.06,39.35,House,4,505,16,0.00566,0,0
2017,3,Otago,396,2827,'15,715',$183.06,39.35,'Flat or Apartment',4,509,18,0.006367,0,0
2017,3,Otago,396,2827,'15,715',$183.06,39.35,House,3,510,11,0.003891,0,0
2017,3,Auckland,532,18322,'25,800',$183.06,39.35,House,3,521,19,0.001037,1,0
2017,3,Wellington,454,6627,'15,510',$183.06,39.35,House,2,525,24,0.003622,1,0
2017,3,Auckland,532,18322,'25,800',$183.06,39.35,'Flat or Apartment',2,535,436,0.023797,1,0
2017,3,Auckland,532,18322,'25,800',$183.06,39.35,'Flat or Apartment',4,602,5,0.000273,1,0
2017,3,Auckland,532,18322,'25,800',$183.06,39.35,House,4,616,27,0.001474,1,0
2017,3,Wellington,454,6627,'15,510',$183.06,39.35,'Flat or Apartment',3,636,124,0.018711,1,0
2017,3,Wellington,454,6627,'15,510',$183.06,39.35,House,5,644,37,0.005583,1,0
2017,3,Auckland,532,18322,'25,800',$183.06,39.35,'Flat or Apartment',3,662,39,0.002129,1,0
2017,3,Otago,396,2827,'15,715',$183.06,39.35,'Flat or Apartment',5,694,50,0.017687,0,0
2017,3,Otago,396,2827,'15,715',$183.06,39.35,House,5,700,53,0.018748,0,0
2017,3,Auckland,532,18322,'25,800',$183.06,39.35,House,5,722,6,0.000327,1,0
2017,3,Wellington,454,6627,'15,510',$183.06,39.35,'Flat or Apartment',4,794,73,0.011016,1,0
2017,3,Auckland,532,18322,'25,800',$183.06,39.35,'Flat or Apartment',5,813,30,0.001637,1,0
2017,3,Wellington,454,6627,'15,510',$183.06,39.35,'Flat or Apartment',5,966,62,0.009356,1,0
2017,6,Wellington,428,3985,'15,510',$183.06,39.35,'Room or Boarding House',1,153,90,0.022585,0,1
2017,6,Auckland,535,13898,'25,800',$183.06,39.35,'Room or Boarding House',1,245,90,0.006476,1,1
2017,6,Wellington,428,3985,'15,510',$183.06,39.35,House,1,271,54,0.013551,0,1
2017,6,Otago,426,1837,'15,715',$183.06,39.35,'Room or Boarding House',1,280,54,0.029396,0,1
2017,6,Otago,426,1837,'15,715',$183.06,39.35,'Flat or Apartment',1,313,85,0.046271,0,1
2017,6,Wellington,428,3985,'15,510',$183.06,39.35,'Flat or Apartment',1,358,217,0.054454,0,1
2017,6,Otago,426,1837,'15,715',$183.06,39.35,House,1,367,22,0.011976,0,1
2017,6,Otago,426,1837,'15,715',$183.06,39.35,'Flat or Apartment',2,379,53,0.028851,0,0
2017,6,Auckland,535,13898,'25,800',$183.06,39.35,House,1,412,7,0.000504,1,0
2017,6,Auckland,535,13898,'25,800',$183.06,39.35,'Flat or Apartment',1,414,588,0.042308,1,0
2017,6,Wellington,428,3985,'15,510',$183.06,39.35,'Flat or Apartment',3,426,49,0.012296,0,0
2017,6,Otago,426,1837,'15,715',$183.06,39.35,'Flat or Apartment',4,429,6,0.003266,0,0
2017,6,Otago,426,1837,'15,715',$183.06,39.35,House,2,457,11,0.005988,0,0
2017,6,Otago,426,1837,'15,715',$183.06,39.35,'Flat or Apartment',3,461,12,0.006532,0,0
2017,6,Wellington,428,3985,'15,510',$183.06,39.35,House,3,462,16,0.004015,0,0
2017,6,Wellington,428,3985,'15,510',$183.06,39.35,House,4,472,13,0.003262,0,0
2017,6,Otago,426,1837,'15,715',$183.06,39.35,House,3,473,11,0.005988,0,0
